#
# File created on Sat Sep 15 01:56:20 CDT 2018
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1828]/D,max,0.125,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1844]/D,max,0.137,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1827]/D,max,0.142,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1843]/D,max,0.151,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1888]/D,max,0.193,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1696]/D,max,0.198,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1695]/D,max,0.201,1,1
accelerator/PU_GEN[0].u_PU/wb_bias_data_reg[8]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[30].u_PE/MACC_pe/op_add_d_reg[8]/D,max,0.203,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1887]/D,max,0.212,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1860]/D,max,0.239,1,1
accelerator/PU_GEN[0].u_PU/wb_bias_data_reg[8]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[21].u_PE/MACC_pe/op_add_d_reg[8]/D,max,0.243,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1968]/D,max,0.248,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1707]/D,max,0.253,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1708]/D,max,0.254,1,1
accelerator/PU_GEN[0].u_PU/wb_bias_data_reg[8]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[16].u_PE/MACC_pe/op_add_d_reg[8]/D,max,0.254,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1859]/D,max,0.258,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1791]/D,max,0.262,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1792]/D,max,0.263,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1967]/D,max,0.267,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1824]/D,max,0.275,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1823]/D,max,0.280,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1771]/D,max,0.313,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1772]/D,max,0.313,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1787]/D,max,0.316,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1788]/D,max,0.317,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1835]/D,max,0.322,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1820]/D,max,0.322,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1836]/D,max,0.323,1,1
accelerator/vecgen/padded_pop_reg/C,accelerator/vecgen/out_data_reg[1819]/D,max,0.325,1,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[35].u_PE/pe_buffer/wr_addr_reg[5]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[5].u_PE/pe_buffer/mem_reg_bram_0/ADDRARDADDR[9],max,0.327,0,0
accelerator/PU_GEN[0].u_PU/wb_bias_data_reg[11]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[25].u_PE/MACC_pe/op_add_d_reg[11]/D,max,0.333,1,1
