#
# File created on Sat Sep 15 01:49:46 CDT 2018
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/ENARDEN,max,2.007,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/fifo_count_reg[10]/D,max,2.016,6,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/fifo_count_reg[9]/D,max,2.050,6,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/u_controller/FSM_sequential_state_reg[0]/CE,max,2.097,5,4
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/u_controller/FSM_sequential_state_reg[1]/CE,max,2.097,5,4
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/u_controller/FSM_sequential_state_reg[2]/CE,max,2.097,5,4
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/mem_reg_bram_0/ENBWREN,max,2.163,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/mem_reg_bram_1/ENBWREN,max,2.163,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/fifo_count_reg[8]/D,max,2.164,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/fifo_count_reg[6]/D,max,2.176,5,3
accelerator/PU_GEN[0].u_PU/PE_GENBLK[27].u_PE/pe_buffer/mem_reg_bram_0/CLKBWRCLK,accelerator/PU_GEN[0].u_PU/neuron_delay/din_delay_reg[2]/D,max,2.180,5,5
accelerator/PU_GEN[0].u_PU/PE_GENBLK[27].u_PE/pe_buffer/mem_reg_bram_0/CLKBWRCLK,accelerator/PU_GEN[0].u_PU/neuron_delay/din_delay_reg[0]/D,max,2.198,5,5
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/fifo_count_reg[5]/D,max,2.208,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/fifo_count_reg[7]/D,max,2.209,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[6]/D,max,2.240,5,3
