#
# File created on Fri Sep 14 23:31:47 CDT 2018
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[24],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[25],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[26],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[27],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[28],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[29],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[30],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[31],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[32],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[33],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[34],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[35],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[36],max,2.324,3,1
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/MACC_pe/op_code_dd_reg[2]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[7].u_PE/MACC_pe/out_reg_reg/DSP_OUTPUT_INST/ALU_OUT[37],max,2.324,3,1
