#
# File created on Fri Sep 14 23:29:19 CDT 2018
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/ENARDEN,max,3.343,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/mem_reg_bram_0/ENBWREN,max,3.802,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/mem_reg_bram_1/ENBWREN,max,3.802,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[6]/D,max,3.841,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[0]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[1]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[2]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[3]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[4]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[5]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[6]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[7]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/rd_pointer_reg[0]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/rd_pointer_reg[1]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/rd_pointer_reg[2]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/rd_pointer_reg[3]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/rd_pointer_reg[4]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/rd_pointer_reg[5]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/rd_pointer_reg[6]/CE,max,3.852,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[5]/D,max,3.873,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[7]/D,max,3.874,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[4]/D,max,3.916,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[3]/D,max,3.940,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[2]/D,max,3.994,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/fifo_count_reg[1]/D,max,4.047,5,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/u_controller/FSM_sequential_state_reg[0]/CE,max,4.047,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/u_controller/FSM_sequential_state_reg[1]/CE,max,4.047,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/u_controller/FSM_sequential_state_reg[2]/CE,max,4.047,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/fifo_count_reg[10]/D,max,4.089,5,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/u_buffer_counter/state_reg/D,max,4.110,4,3
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[0]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[10]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[11]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[12]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[13]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[14]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[15]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[1]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[2]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[3]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[4]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[5]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[6]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[7]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[8]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/vecgen_read_count_reg[9]/CE,max,4.120,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/fifo_count_reg[9]/D,max,4.123,5,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/rd_pointer_reg[0]/CE,max,4.123,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/rd_pointer_reg[1]/CE,max,4.123,3,2
accelerator/mem_ctrl_top/u_buffer_counter/read_info_fifo/mem_reg/CLKARDCLK,accelerator/mem_ctrl_top/buffer_read/rd_pointer_reg[2]/CE,max,4.123,3,2
accelerator/u_controller/THREAD_LOGIC[0].mask_reg[0]/C,accelerator/PU_GEN[0].u_PU/vg_mask_delay/din_delay_reg[0]_srl2___accelerator_u_controller_pool_valid_delay_REGISTER_STAGES_r/D,min,-0.065,0,0
